FT       ID       AT       WT       TT
4:25      2        4:20      0:0     0:5
4:35      3        4:25      0:5     0:5
4:45      4        4:30      0:10     0:5
4:45      5        4:30      0:10     0:5
4:55      9        4:48      0:2     0:5
4:55      6        4:36      0:14     0:5
4:55      7        4:37      0:13     0:5
5:5      10        4:54      0:6     0:5
5:5      8        4:46      0:14     0:5
5:15      11        5:4      0:6     0:5
5:25      13        5:15      0:5     0:5
5:25      12        5:8      0:12     0:5
5:25      14        5:20      0:0     0:5
5:35      15        5:27      0:3     0:5
5:45      17        5:32      0:8     0:5
5:45      16        5:28      0:12     0:5
5:55      18        5:41      0:9     0:5
6:5      20        5:52      0:8     0:5
6:5      19        5:46      0:14     0:5
6:5      21        5:58      0:2     0:5
6:20      23        6:14      0:1     0:5
6:25      24        6:17      0:3     0:5
6:30      26        6:25      0:0     0:5
6:35      25        6:18      0:12     0:5
6:45      27        6:27      0:13     0:5
6:50      29        6:41      0:4     0:5
6:50      30        6:43      0:2     0:5
6:55      28        6:40      0:10     0:5
6:55      32        6:49      0:1     0:5
7:5      33        6:58      0:2     0:5
7:5      31        6:47      0:13     0:5
7:25      34        7:10      0:10     0:5
Passengers: 32
Buses: 4 [WBus :2, MBus :2]
