FT       ID       AT       WT       TT
4:12      3        4:3      0:6     0:3
4:12      22        4:5      0:4     0:3
4:15      1        4:1      0:2     0:12
4:15      20        4:5      0:7     0:3
4:21      5        4:3      0:12     0:6
4:21      24        4:5      0:10     0:6
4:24      42        4:12      0:6     0:6
4:24      2        4:3      0:3     0:18
4:24      21        4:5      0:1     0:18
4:24      7        4:3      0:18     0:3
4:24      26        4:5      0:16     0:3
4:27      43        4:15      0:6     0:6
4:27      6        4:3      0:15     0:9
4:27      25        4:5      0:13     0:9
4:28      61        4:1      0:2     0:25
4:28      23        4:5      0:7     0:16
4:28      4        4:3      0:9     0:16
4:28      27        4:5      0:19     0:4
4:28      8        4:3      0:21     0:4
4:30      30        4:6      0:12     0:12
4:30      9        4:3      0:24     0:3
4:30      28        4:5      0:22     0:3
4:32      46        4:23      0:5     0:4
4:33      47        4:25      0:5     0:3
4:39      41        4:7      0:11     0:21
4:39      45        4:20      0:13     0:6
4:39      39        4:7      0:11     0:21
4:39      19        4:4      0:32     0:3
4:39      38        4:7      0:29     0:3
4:42      11        4:4      0:14     0:24
4:42      44        4:17      0:4     0:21
4:44      48        4:29      0:12     0:3
4:45      40        4:7      0:11     0:27
4:53      15        4:4      0:46     0:3
4:53      34        4:6      0:44     0:3
4:54      16        4:4      0:41     0:9
4:54      35        4:6      0:39     0:9
4:56      29        4:5      0:30     0:21
4:56      10        4:3      0:32     0:21
4:56      14        4:4      0:49     0:3
4:56      33        4:6      0:47     0:3
4:59      17        4:4      0:40     0:15
4:59      36        4:6      0:38     0:15
5:0      13        4:4      0:50     0:6
5:0      32        4:6      0:48     0:6
5:2      37        4:6      0:35     0:21
5:2      18        4:4      0:37     0:21
5:2      12        4:4      0:55     0:3
5:2      31        4:6      0:53     0:3
5:12      49        4:45      0:6     0:21
5:24      50        5:3      0:6     0:15
5:26      54        5:15      0:5     0:6
5:27      51        5:7      0:5     0:15
5:27      53        5:13      0:8     0:6
5:29      55        5:17      0:6     0:6
5:30      52        5:11      0:4     0:15
5:39      58        5:23      0:13     0:3
5:39      59        5:25      0:2     0:12
5:42      57        5:21      0:12     0:9
5:54      56        5:18      0:18     0:18
Passengers: 60
Buses: 14 [WBus :3, MBus :11]
