FT       ID       AT       WT       TT
4:33      4        4:20      0:7     0:6
4:48      6        4:36      0:0     0:12
4:48      2        4:7      0:29     0:12
4:48      3        4:13      0:29     0:6
4:48      5        4:26      0:16     0:6
4:57      7        4:43      0:8     0:6
5:3      8        4:43      0:2     0:18
5:3      11        4:52      0:5     0:6
5:6      10        4:48      0:6     0:12
5:12      12        4:55      0:5     0:12
5:12      9        4:45      0:15     0:12
5:12      14        5:3      0:3     0:6
5:18      15        5:5      0:1     0:12
5:18      16        5:6      0:0     0:12
5:27      13        5:0      0:9     0:18
5:30      18        5:15      0:9     0:6
5:30      19        5:15      0:9     0:6
5:30      20        5:19      0:5     0:6
5:33      17        5:13      0:14     0:6
5:45      21        5:21      0:12     0:12
5:45      25        5:34      0:5     0:6
5:45      22        5:22      0:11     0:12
5:51      23        5:26      0:7     0:18
5:54      27        5:42      0:6     0:6
5:57      26        5:37      0:14     0:6
6:0      24        5:32      0:10     0:18
6:3      28        5:52      0:5     0:6
6:6      30        5:57      0:3     0:6
6:18      32        6:9      0:3     0:6
6:18      29        5:54      0:12     0:12
6:24      31        6:3      0:9     0:12
6:27      33        6:15      0:6     0:6
6:39      34        6:22      0:5     0:12
6:45      36        6:32      0:1     0:12
6:48      35        6:28      0:14     0:6
6:51      38        6:41      0:4     0:6
6:54      37        6:38      0:4     0:12
6:54      40        6:46      0:2     0:6
7:3      43        6:53      0:4     0:6
7:6      41        6:48      0:12     0:6
7:6      44        6:56      0:4     0:6
7:12      39        6:45      0:9     0:18
7:12      45        6:58      0:8     0:6
7:12      42        6:53      0:13     0:6
7:15      48        7:9      0:0     0:6
7:21      46        7:1      0:8     0:12
7:24      47        7:5      0:13     0:6
7:30      50        7:11      0:13     0:6
7:36      49        7:10      0:8     0:18
7:42      53        7:24      0:12     0:6
7:42      51        7:17      0:7     0:18
7:42      52        7:24      0:0     0:18
7:51      54        7:27      0:6     0:18
7:51      55        7:32      0:13     0:6
7:51      57        7:32      0:7     0:12
7:51      58        7:36      0:9     0:6
7:54      60        7:48      0:0     0:6
7:54      56        7:32      0:16     0:6
8:0      61        7:49      0:5     0:6
8:6      59        7:43      0:11     0:12
8:12      64        8:5      0:1     0:6
8:15      62        7:59      0:4     0:12
8:18      65        8:11      0:1     0:6
8:24      63        8:5      0:13     0:6
8:27      66        8:17      0:4     0:6
8:39      67        8:17      0:4     0:18
8:42      68        8:23      0:13     0:6
8:48      69        8:30      0:0     0:18
8:54      70        8:32      0:4     0:18
Passengers: 69
Buses: 7 [WBus :4, MBus :3]
