FT       ID       AT       WT       TT
4:30      3        4:12      0:12     0:6
4:33      5        4:18      0:9     0:6
4:36      4        4:15      0:9     0:12
4:36      2        4:7      0:23     0:6
5:0      1        4:1      0:53     0:6
5:6      17        4:58      0:2     0:6
5:6      10        4:37      0:5     0:24
5:9      11        4:37      0:14     0:18
5:12      8        4:32      0:22     0:18
5:12      7        4:25      0:41     0:6
5:12      12        4:44      0:10     0:18
5:18      6        4:18      0:54     0:6
5:18      9        4:35      0:31     0:12
5:21      18        5:4      0:11     0:6
5:30      21        5:15      0:9     0:6
5:36      23        5:30      0:0     0:6
5:42      20        5:14      0:22     0:6
5:48      14        4:55      0:41     0:12
5:48      13        4:51      0:51     0:6
5:54      26        5:39      0:3     0:12
5:54      27        5:42      0:6     0:6
6:3      24        5:33      0:12     0:18
6:6      16        4:58      0:50     0:18
6:6      19        5:11      0:25     0:30
6:15      25        5:35      0:10     0:30
6:21      28        5:44      0:7     0:30
6:24      39        6:17      0:1     0:6
6:24      29        5:47      0:25     0:12
6:24      35        6:9      0:9     0:6
6:30      36        6:9      0:15     0:6
6:30      37        6:13      0:11     0:6
6:30      31        5:55      0:17     0:18
6:30      33        5:58      0:14     0:18
6:42      32        5:55      0:17     0:30
6:42      22        5:22      0:50     0:30
6:42      30        5:53      0:37     0:12
6:48      42        6:31      0:5     0:12
6:48      44        6:36      0:6     0:6
6:54      46        6:41      0:1     0:12
7:0      41        6:27      0:27     0:6
7:12      49        6:51      0:3     0:18
7:12      50        6:56      0:10     0:6
7:12      51        7:2      0:4     0:6
7:24      34        6:5      0:49     0:30
7:24      54        7:9      0:3     0:12
7:24      47        6:41      0:37     0:6
7:24      48        6:47      0:7     0:30
7:30      40        6:24      0:48     0:18
7:30      45        6:41      0:19     0:30
7:30      38        6:16      0:50     0:24
7:30      43        6:35      0:49     0:6
7:30      53        7:7      0:11     0:12
7:42      55        7:11      0:13     0:18
7:42      60        7:35      0:1     0:6
7:45      52        7:4      0:5     0:36
7:48      59        7:28      0:14     0:6
7:54      56        7:17      0:19     0:18
8:6      57        7:24      0:36     0:6
8:12      58        7:26      0:16     0:30
8:21      66        8:1      0:14     0:6
8:27      68        8:7      0:8     0:12
8:36      62        7:48      0:42     0:6
8:42      71        8:17      0:7     0:18
8:42      73        8:24      0:0     0:18
8:42      65        8:1      0:17     0:24
8:42      64        7:57      0:27     0:18
8:48      61        7:42      0:48     0:18
8:48      67        8:3      0:33     0:12
8:48      76        8:34      0:8     0:6
8:48      63        7:54      0:24     0:30
8:54      74        8:26      0:10     0:18
8:57      72        8:19      0:14     0:24
9:3      77        8:39      0:6     0:18
9:12      69        8:8      0:52     0:12
9:24      70        8:10      0:50     0:24
9:36      75        8:31      0:47     0:18
Passengers: 76
Buses: 7 [WBus :4, MBus :3]
