FT       ID       AT       WT       TT
4:48      2        4:6      0:18     0:24
5:0      3        4:9      0:27     0:24
5:9      13        4:46      0:11     0:12
5:18      22        5:6      0:0     0:12
5:24      12        4:43      0:5     0:36
5:24      6        4:20      0:40     0:24
5:27      10        4:38      0:1     0:48
5:27      14        4:48      0:3     0:36
5:27      25        5:12      0:3     0:12
5:33      16        4:56      0:13     0:24
5:33      17        4:56      0:13     0:24
5:36      15        4:53      0:7     0:36
5:39      20        5:4      0:11     0:24
5:51      26        5:14      0:1     0:36
5:51      23        5:6      0:9     0:36
6:6      35        5:44      0:10     0:12
6:12      24        5:11      0:49     0:12
6:24      5        4:17      1:31     0:36
6:24      41        5:57      0:15     0:12
6:36      48        6:21      0:3     0:12
6:36      21        5:4      0:44     0:48
6:48      1        4:1      2:23     0:24
6:48      30        5:30      1:6     0:12
6:54      47        6:21      0:9     0:24
6:54      56        6:42      0:0     0:12
6:57      52        6:38      0:7     0:12
7:0      9        4:33      1:15     1:12
7:0      28        5:22      0:26     1:12
7:0      32        5:38      0:10     1:12
7:0      29        5:25      0:35     1:0
7:0      8        4:30      2:18     0:12
7:0      18        4:59      1:49     0:12
7:0      19        5:0      1:12     0:48
7:0      50        6:32      0:4     0:24
7:0      38        5:51      0:57     0:12
7:3      49        6:24      0:3     0:36
7:3      42        6:2      0:13     0:48
7:9      58        6:51      0:6     0:12
7:12      40        5:55      0:53     0:24
7:12      11        4:40      1:8     1:24
7:12      7        4:21      2:15     0:36
7:12      33        5:43      0:41     0:48
7:12      31        5:35      0:25     1:12
7:15      39        5:54      0:9     1:12
7:27      36        5:49      0:14     1:24
7:30      65        7:10      0:8     0:12
7:57      62        7:0      0:9     0:48
8:0      70        7:19      0:29     0:12
8:12      63        7:2      0:46     0:24
8:12      76        7:33      0:3     0:36
8:12      44        6:7      1:41     0:24
8:12      73        7:26      0:34     0:12
8:15      81        7:53      0:10     0:12
8:24      51        6:37      0:47     1:0
8:24      66        7:10      0:50     0:24
8:24      84        8:2      0:10     0:12
8:36      27        5:17      2:19     1:0
8:36      37        5:50      1:58     0:48
8:36      82        7:55      0:17     0:24
8:39      79        7:43      0:8     0:48
8:48      34        5:44      2:4     1:0
8:48      78        7:39      0:33     0:36
8:48      45        6:12      2:12     0:24
8:48      91        8:26      0:10     0:12
8:48      53        6:41      0:55     1:12
8:48      43        6:2      2:10     0:36
8:51      92        8:29      0:10     0:12
8:57      95        8:36      0:9     0:12
9:3      100        8:48      0:3     0:12
9:12      86        8:6      0:54     0:12
9:24      54        6:42      2:18     0:24
9:24      88        8:16      0:56     0:12
9:33      98        8:44      0:13     0:36
9:36      69        7:17      1:43     0:36
9:39      112        9:23      0:4     0:12
9:48      67        7:12      2:0     0:36
9:48      60        6:58      2:14     0:36
9:48      104        9:1      0:11     0:36
10:0      102        8:55      0:5     1:0
10:0      57        6:47      2:25     0:48
10:0      108        9:12      0:0     0:48
10:0      77        7:33      1:51     0:36
10:0      71        7:21      2:15     0:24
10:0      89        8:21      1:27     0:12
10:0      99        8:48      1:0     0:12
10:0      64        7:3      1:57     1:0
10:0      72        7:26      1:34     1:0
10:3      115        9:25      0:14     0:24
10:12      101        8:51      0:9     1:12
10:12      85        8:5      1:31     0:36
10:12      74        7:28      2:20     0:24
10:12      80        7:48      1:36     0:48
10:12      83        7:58      1:2     1:12
10:12      109        9:14      0:46     0:12
10:12      105        9:4      0:56     0:12
10:12      59        6:53      2:7     1:12
10:12      97        8:42      0:18     1:12
10:12      114        9:23      0:37     0:12
10:15      127        9:53      0:10     0:12
10:15      129        10:2      0:1     0:12
10:24      107        9:9      0:39     0:36
10:24      120        9:36      0:24     0:24
10:24      75        7:28      1:32     1:24
10:24      93        8:32      1:16     0:36
10:24      117        9:29      0:19     0:36
10:24      87        8:11      1:49     0:24
10:24      68        7:12      2:24     0:48
10:30      136        10:12      0:6     0:12
10:45      132        10:8      0:13     0:24
10:48      137        10:12      0:24     0:12
10:57      122        9:46      0:11     1:0
11:0      94        8:36      2:12     0:12
11:0      140        10:16      0:32     0:12
11:0      139        10:15      0:33     0:12
11:9      131        10:7      0:14     0:48
11:12      121        9:41      1:7     0:24
11:24      130        10:6      0:42     0:36
11:24      124        9:46      1:26     0:12
11:24      126        9:50      0:58     0:36
11:24      111        9:19      1:53     0:12
11:36      96        8:41      2:7     0:48
11:36      103        8:59      1:37     1:0
11:36      133        10:11      0:25     1:0
11:48      125        9:46      1:14     0:48
11:48      106        9:7      2:5     0:36
11:48      110        9:18      2:18     0:12
11:48      128        9:57      1:39     0:12
11:48      138        10:15      0:45     0:48
11:48      135        10:12      0:24     1:12
12:0      119        9:36      1:0     1:24
12:0      113        9:23      1:13     1:24
12:0      118        9:32      1:16     1:12
12:0      116        9:26      1:10     1:24
12:0      90        8:23      2:13     1:24
12:24      134        10:12      2:0     0:12
13:0      123        9:46      2:26     0:48
Passengers: 136
Buses: 9 [WBus :4, MBus :5]
